Bulanan;Harga
01/01/1986;40,93
01/02/1986;33,45
01/03/1986;30,61
01/04/1986;30,84
01/05/1986;33,38
01/06/1986;31,43
01/07/1986;29,58
01/08/1986;33,10
01/09/1986;32,87
01/10/1986;32,90
01/11/1986;33,22
01/12/1986;34,11
01/01/1987;36,65
01/02/1987;35,75
01/03/1987;36,30
01/04/1987;36,68
01/05/1987;37,44
01/06/1987;38,07
01/07/1987;39,34
01/08/1987;38,31
01/09/1987;37,53
01/10/1987;37,86
01/11/1987;36,85
01/12/1987;35,27
01/01/1988;35,13
01/02/1988;34,80
01/03/1988;34,20
01/04/1988;35,86
01/05/1988;35,42
01/06/1988;34,53
01/07/1988;33,50
01/08/1988;33,52
01/09/1988;32,54
01/10/1988;31,77
01/11/1988;32,14
01/12/1988;34,38
01/01/1989;36,02
01/02/1989;35,94
01/03/1989;37,48
01/04/1989;39,07
01/05/1989;38,12
01/06/1989;38,05
01/07/1989;37,78
01/08/1989;36,58
01/09/1989;37,59
01/10/1989;38,10
01/11/1989;37,86
01/12/1989;39,10
01/01/1990;40,86
01/02/1990;40,11
01/03/1990;38,39
01/04/1990;36,43
01/05/1990;36,20
01/06/1990;34,70
01/07/1990;36,45
01/08/1990;45,31
01/09/1990;51,51
01/10/1990;54,04
01/11/1990;50,33
01/12/1990;45,28
01/01/1991;43,23
01/02/1991;38,48
01/03/1991;37,90
01/04/1991;38,83
01/05/1991;39,23
01/06/1991;38,19
01/07/1991;39,40
01/08/1991;39,69
01/09/1991;39,89
01/10/1991;41,23
01/11/1991;40,46
01/12/1991;37,50
01/01/1992;36,79
01/02/1992;37,01
01/03/1992;36,92
01/04/1992;38,23
01/05/1992;38,98
01/06/1992;40,38
01/07/1992;39,77
01/08/1992;39,34
01/09/1992;39,88
01/10/1992;39,68
01/11/1992;38,34
01/12/1992;37,41
01/01/1993;37,03
01/02/1993;38,09
01/03/1993;38,32
01/04/1993;38,25
01/05/1993;37,95
01/06/1993;37,09
01/07/1993;35,89
01/08/1993;36,01
01/09/1993;35,50
01/10/1993;36,15
01/11/1993;34,61
01/12/1993;32,51
01/01/1994;33,03
01/02/1994;32,78
01/03/1994;32,68
01/04/1994;34,42
01/05/1994;35,89
01/06/1994;37,06
01/07/1994;37,65
01/08/1994;36,38
01/09/1994;35,45
01/10/1994;35,72
01/11/1994;36,07
01/12/1994;35,16
01/01/1995;36,04
01/02/1995;36,57
01/03/1995;36,54
01/04/1995;37,90
01/05/1995;37,74
01/06/1995;36,45
01/07/1995;35,32
01/08/1995;36,02
01/09/1995;36,23
01/10/1995;35,43
01/11/1995;35,99
01/12/1995;37,03
01/01/1996;36,85
01/02/1996;37,09
01/03/1996;39,33
01/04/1996;41,50
01/05/1996;39,16
01/06/1996;38,42
01/07/1996;39,30
01/08/1996;39,90
01/09/1996;41,97
01/10/1996;42,88
01/11/1996;41,70
01/12/1996;43,23
01/01/1997;43,13
01/02/1997;40,18
01/03/1997;38,97
01/04/1997;37,70
01/05/1997;38,82
01/06/1997;37,26
01/07/1997;37,66
01/08/1997;37,95
01/09/1997;37,80
01/10/1997;39,32
01/11/1997;38,19
01/12/1997;36,33
01/01/1998;34,72
01/02/1998;34,06
01/03/1998;33,12
01/04/1998;33,35
01/05/1998;32,91
01/06/1998;31,72
01/07/1998;32,17
01/08/1998;31,47
01/09/1998;33,03
01/10/1998;32,46
01/11/1998;31,00
01/12/1998;29,35
01/01/1999;30,51
01/02/1999;30,01
01/03/1999;32,68
01/04/1999;35,31
01/05/1999;35,72
01/06/1999;35,92
01/07/1999;38,10
01/08/1999;39,28
01/09/1999;41,80
01/10/1999;40,69
01/11/1999;43,00
01/12/1999;44,10
01/01/2000;45,26
01/02/2000;47,37
01/03/2000;47,84
01/04/2000;43,72
01/05/2000;46,79
01/06/2000;49,82
01/07/2000;47,70
01/08/2000;49,26
01/09/2000;51,88
01/10/2000;51,11
01/11/2000;52,42
01/12/2000;46,44
01/01/2001;47,59
01/02/2001;47,61
01/03/2001;45,24
01/04/2001;45,49
01/05/2001;46,63
01/06/2001;45,60
01/07/2001;44,42
01/08/2001;45,37
01/09/2001;44,20
01/10/2001;40,17
01/11/2001;37,64
01/12/2001;37,39
01/01/2002;37,71
01/02/2002;38,72
01/03/2002;42,53
01/04/2002;44,18
01/05/2002;45,04
01/06/2002;43,52
01/07/2002;44,97
01/08/2002;46,39
01/09/2002;47,66
01/10/2002;46,84
01/11/2002;44,35
01/12/2002;47,46
01/01/2003;50,95
01/02/2003;53,83
01/03/2003;51,51
01/04/2003;46,17
01/05/2003;46,11
01/06/2003;48,66
01/07/2003;48,75
01/08/2003;49,57
01/09/2003;46,31
01/10/2003;48,34
01/11/2003;49,11
01/12/2003;50,13
01/01/2004;52,31
01/02/2004;52,68
01/03/2004;54,74
01/04/2004;54,75
01/05/2004;58,27
01/06/2004;56,02
01/07/2004;58,78
01/08/2004;62,90
01/09/2004;63,94
01/10/2004;71,28
01/11/2004;66,47
01/12/2004;61,15
01/01/2005;64,84
01/02/2005;66,15
01/03/2005;72,19
01/04/2005;70,98
01/05/2005;67,83
01/06/2005;74,35
01/07/2005;76,99
01/08/2005;82,98
01/09/2005;83,59
01/10/2005;80,26
01/11/2005;76,32
01/12/2005;77,41
01/01/2006;83,48
